Line_Seq,Output_Dir,Critical_cluster,CCT
B-C_fault,BAP100,GEN_AT 2,0.17820487559046563
B-C_fault,BAP200,GEN_AT 2,0.19957183602130615
B-C_fault,BAQ100,GEN_AT 2,0.1440422526264189
B-C_fault,BAQ200,GEN_AT 2,0.12980805882736718
B-C_fault,BBP100,GEN_AT 2,0.20676781173027972
B-C_fault,BBP200,GEN_AT 2,0.26001481577538677
B-C_fault,BBQ100,GEN_AT 2,0.14718229571971203
B-C_fault,BBQ200,GEN_AT 2,0.13251940511213303
B-C_fault,BCP100,GEN_AT 2,0.207250801568187
B-C_fault,BCP200,GEN_AT 2,0.2605853174295424
B-C_fault,BCQ100,GEN_AT 2,0.150797210826686
B-C_fault,BCQ200,GEN_AT 2,0.13930942882088237
B-C_fault,BDP100,GEN_AT 2,0.20725080156818704
B-C_fault,BDP200,GEN_AT 2,0.26058531742954266
B-C_fault,BDQ100,GEN_AT 2,0.1507972108266861
B-C_fault,BDQ200,GEN_AT 2,0.13930942882088254
B-C_fault,Main,GEN_AT 2,0.16240303688081772
