Line_Seq,Output_Dir,Critical_cluster,CCT
line_1-2,B1P50,GEN    1,0.4911048847083225
line_1-2,B1P100,GEN    1,0.5123424092020727
line_1-2,B1Q50,GEN    1,0.44153424066108127
line_1-2,B1Q100,GEN    1,0.4067427645301173
line_1-2,B2P50,GEN    1,0.469505289419674
line_1-2,B2P100,GEN    1,0.47025083538582685
line_1-2,B2Q50,GEN    1,0.4686765858358866
line_1-2,B2Q100,GEN    1,0.44780302514947534
line_1-2,B5P50,GEN    1,0.4911048847083225
line_1-2,B5P100,GEN    1,0.5123424092020727
line_1-2,B5Q50,GEN    1,0.44153424066108127
line_1-2,B5Q100,GEN    1,0.4067427645301173
line_1-2,Base,GEN    1,0.4687002950677915
line_1-5,B1P50,GEN    1,0.4955299765123879
line_1-5,B1P100,GEN    1,0.514965054576948
line_1-5,B1Q50,GEN    1,0.4426321265472158
line_1-5,B1Q100,GEN    1,0.40712590742775734
line_1-5,B2P50,GEN    1,0.48239092766792446
line_1-5,B2P100,GEN    1,0.48391122231190514
line_1-5,B2Q50,GEN    1,0.48027790254868974
line_1-5,B2Q100,GEN    1,0.46209864656469013
line_1-5,B5P50,GEN    1,0.4955299765123879
line_1-5,B5P100,GEN    1,0.514965054576948
line_1-5,B5Q50,GEN    1,0.4426321265472161
line_1-5,B5Q100,GEN    1,0.4071259074277573
line_1-5,Base,GEN    1,0.48036718340423734
